2025-11-30 08:01:02 [INFO] SettingsManager für like_overlay/settings.json initialisiert: C:\Users\rieck\Interne-Structure\Own-Projekts\StreamForge_sys\like_overlay\settings.json
2025-11-30 08:01:02 [INFO] SettingsManager für subathon_overlay/settings.json initialisiert: C:\Users\rieck\Interne-Structure\Own-Projekts\StreamForge_sys\subathon_overlay\settings.json
2025-11-30 08:01:02 [INFO] Pygame Mixer erfolgreich initialisiert.
2025-11-30 08:01:02 [INFO] SettingsManager für commands_overlay/commands.json initialisiert: C:\Users\rieck\Interne-Structure\Own-Projekts\StreamForge_sys\commands_overlay\commands.json
2025-11-30 08:01:02 [INFO] SettingsManager für commands_overlay/active.json initialisiert: C:\Users\rieck\Interne-Structure\Own-Projekts\StreamForge_sys\commands_overlay\active.json
2025-11-30 08:01:02 [INFO] SettingsManager für commands_overlay/settings.json initialisiert: C:\Users\rieck\Interne-Structure\Own-Projekts\StreamForge_sys\commands_overlay\settings.json
2025-11-30 08:01:02 [INFO] Datenbank und Tabelle erfolgreich erstellt oder aktualisiert.
2025-11-30 08:01:02 [INFO] Datenbankpfad: C:\Users\rieck\Interne-Structure\Own-Projekts\StreamForge_sys\killerwuensche.db
2025-11-30 08:01:03 [INFO] Hotkey-Listener-Thread gestartet.
2025-11-30 08:01:03 [INFO] Datenbank und Tabelle erfolgreich erstellt oder aktualisiert.
2025-11-30 08:01:03 [INFO] [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-11-30 08:01:03 [INFO] [33mPress CTRL+C to quit[0m
2025-11-30 08:01:03 [INFO] Initialisiere TikTok API für: dbdstation
2025-11-30 08:01:03 [INFO] 🚀 API gestartet für: @dbdstation (EulerStream aktiv)
2025-11-30 08:01:03 [INFO] 💾 Auto-Save aktiv: Alle 30 Sekunden in 'like_daten.json'
2025-11-30 08:01:03 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:03] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:03 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:03] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:03 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:03] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:03 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:03] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:03 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:03] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:03 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:03] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:03 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:03] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:04 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:04] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:04 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:04] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:04 [INFO] Verbinde zu TikTok Live @dbdstation...
2025-11-30 08:01:04 [INFO] HTTP Request: GET https://www.tiktok.com/@dbdstation/live? "HTTP/1.1 200 OK"
2025-11-30 08:01:05 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:05] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:05 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:05] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:05 [ERROR] TikTok Live Verbindung unterbrochen: TikTokLive v6.6.5 -> UserNotFoundError
2025-11-30 08:01:06 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:06] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:06 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:06] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:06 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:06] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:07 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:07] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:07 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:07] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:08 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:08] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:09 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:09] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:09 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:09] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:09 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:09] "POST /api/v1/timer/control HTTP/1.1" 200 -
2025-11-30 08:01:10 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:10] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:10 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:10] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:10 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:10] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:11 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:11] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:11 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:11] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:12 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:12] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:12 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:12] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:13 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:13] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:13 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:13] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:14 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:14] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:14 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:14] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:15 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:15] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:15 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:15] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:16 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:16] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:16 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:16] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:17 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:17] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:17 [INFO] Verbinde zu TikTok Live @dbdstation...
2025-11-30 08:01:17 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:17] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:17 [INFO] HTTP Request: GET https://www.tiktok.com/@dbdstation/live? "HTTP/1.1 200 OK"
2025-11-30 08:01:18 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:18] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:18 [INFO] HTTP Request: GET https://webcast.tiktok.com/webcast/room/check_alive/?aid=1988&app_language=en&app_name=tiktok_web&browser_language=en-JM&browser_name=Mozilla&browser_online=true&browser_platform=Win32&browser_version=5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F129.0.0.0%20Safari%2F537.36&cookie_enabled=true&device_platform=web_pc&focus_state=true&from_page=&history_len=7&is_fullscreen=false&is_page_visible=true&screen_height=1080&screen_width=1920&tz_name=America/Jamaica&channel=tiktok_web&data_collection_enabled=true&os=windows&priority_region=JM&region=JM&user_is_login=false&webcast_language=en&msToken=&referer=https://www.tiktok.com/@dbdstation/live&root_referer=https://www.tiktok.com/@dbdstation/live&device_id=98453465625516968649&room_id=7578391812654746371&room_ids=7578391812654746371 "HTTP/1.1 200 OK"
2025-11-30 08:01:18 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:18] "GET /api/v1/timer/state HTTP/1.1" 200 -
2025-11-30 08:01:18 [INFO] HTTP Request: GET https://webcast.tiktok.com/webcast/room/info/?aid=1988&app_language=en&app_name=tiktok_web&browser_language=en-JM&browser_name=Mozilla&browser_online=true&browser_platform=Win32&browser_version=5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F129.0.0.0%20Safari%2F537.36&cookie_enabled=true&device_platform=web_pc&focus_state=true&from_page=&history_len=7&is_fullscreen=false&is_page_visible=true&screen_height=1080&screen_width=1920&tz_name=America/Jamaica&channel=tiktok_web&data_collection_enabled=true&os=windows&priority_region=JM&region=JM&user_is_login=false&webcast_language=en&msToken=&referer=https://www.tiktok.com/@dbdstation/live&root_referer=https://www.tiktok.com/@dbdstation/live&device_id=71390325497670987829&room_id=7578391812654746371 "HTTP/1.1 200 OK"
2025-11-30 08:01:19 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:19] "GET /api/v1/like_challenge HTTP/1.1" 200 -
2025-11-30 08:01:19 [INFO] 127.0.0.1 - - [30/Nov/2025 08:01:19] "GET /api/v1/timer/state HTTP/1.1" 200 -
